mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.0879786809285483,0.011637752196961802,0.20347857475280762,0.037055610849866694,0.8,1,50,8,0.1,0,0.6,"{'subsample': 0.8, 'scale_pos_weight': 1, 'n_estimators': 50, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.7980860033432814,0.7946686070358013,0.794091675031308,0.7956154284701302,0.0017627663462744406,15
1.805646816889445,0.12147558274042693,0.17127100626627603,0.0032428529619467797,0.8,10,50,5,0.2,0,0.8,"{'subsample': 0.8, 'scale_pos_weight': 10, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",0.7983133368918292,0.7950356773371228,0.7934647840268558,0.7956045994186026,0.002019879612288274,16
8.522018671035767,2.131425774133315,0.9261818726857504,0.5745767049984501,1.0,1,100,8,0.1,1,0.8,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 0.8}",0.7982666945903018,0.7948184658731718,0.7936196859867377,0.7955682821500704,0.0019698291934794926,17
0.5132286548614502,0.042087824729627445,0.05891124407450358,0.015822377025485453,1.0,10,50,6,0.05,5,0.6,"{'subsample': 1.0, 'scale_pos_weight': 10, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 5, 'colsample_bytree': 0.6}",0.7977182888768336,0.7945084016241543,0.794189819159802,0.7954721698869299,0.001593562379126821,18
1.1823988755544026,0.191388550212029,0.046070496241251625,0.003578708778494671,0.8,1,150,4,0.2,0,1.0,"{'subsample': 0.8, 'scale_pos_weight': 1, 'n_estimators': 150, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 1.0}",0.797473061150049,0.7955713259653777,0.7929557374157868,0.7953333748437378,0.001851849342729105,19
0.9967063268025717,0.2050251490026991,0.12667218844095865,0.028690702619709522,1.0,1,100,10,0.01,5,0.6,"{'subsample': 1.0, 'scale_pos_weight': 1, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 0.6}",0.7971919966387033,0.7940548717398936,0.7942741961087145,0.795173688162437,0.0014299656461410875,20
3.339366833368937,0.038770984643210105,0.07134707768758138,0.004984664356591012,0.6,10,150,5,0.01,5,0.6,"{'subsample': 0.6, 'scale_pos_weight': 10, 'n_estimators': 150, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 0.6}",0.7964609080731269,0.7937881856094783,0.793636843500781,0.7946286457277955,0.0012970775060511842,21
4.1433461507161455,0.05231008900877678,0.36766831080118817,0.01740526335548609,1.0,2,50,10,0.05,1,0.6,"{'subsample': 1.0, 'scale_pos_weight': 2, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 1, 'colsample_bytree': 0.6}",0.7969651957991153,0.7932305966739219,0.7922247691975328,0.7941401872235234,0.0020393507655118806,22
7.796614170074463,0.44745611193419366,0.11090207099914551,0.005646726609660137,0.6,5,100,10,0.01,1,1.0,"{'subsample': 0.6, 'scale_pos_weight': 5, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 1.0}",0.7976068861156385,0.7933992597592169,0.791305885637577,0.7941040105041441,0.0026201980797246815,23
4.0701808134714765,0.4995074331662116,0.0540919303894043,0.009231561775376585,0.8,1,200,3,0.01,0,1.0,"{'subsample': 0.8, 'scale_pos_weight': 1, 'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0, 'colsample_bytree': 1.0}",0.7979258698192964,0.7925972579798242,0.7916583290673643,0.7940604856221616,0.0027599870916675804,24
0.5780878861745199,0.0356334118972477,0.03916064898173014,0.0029577483135772077,1.0,5,150,3,0.01,1,0.6,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 1, 'colsample_bytree': 0.6}",0.7950789218009398,0.7910532875576831,0.7912737258935414,0.7924686450840547,0.0018479369882859356,25
0.45091772079467773,0.024090220270974225,0.024005015691121418,0.0009787488223754622,0.8,10,50,4,0.01,5,1.0,"{'subsample': 0.8, 'scale_pos_weight': 10, 'n_estimators': 50, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 5, 'colsample_bytree': 1.0}",0.7956663605527272,0.7906382985112484,0.7882522234963691,0.7915189608534483,0.0030902029807486904,26
0.9133297602335612,0.0677633104678014,0.04189403851826986,0.005524088681626648,1.0,10,200,8,0.2,1,1.0,"{'subsample': 1.0, 'scale_pos_weight': 10, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 1, 'colsample_bytree': 1.0}",0.7885645328960859,0.7813411841048237,0.7788368832839341,0.7829142000949479,0.0041241222276656615,27
14.429226557413736,2.200314980818944,1.1751124064127605,0.57299174358474,1.0,5,200,10,0.1,0,0.6,"{'subsample': 1.0, 'scale_pos_weight': 5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.7833180821179578,0.7788577641117163,0.7761945837421209,0.7794568099905984,0.0029388432249659075,28
2.002488851547241,0.09674691790532484,0.14053630828857422,0.012508558772349061,0.8,5,200,8,0.2,0,0.8,"{'subsample': 0.8, 'scale_pos_weight': 5, 'n_estimators': 200, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",0.7706594946606581,0.7672831562057131,0.7665529023793634,0.768165184415245,0.001788762209463053,29
11.9585333665212,0.2757770061475189,0.9160484472910563,0.05121820415487893,0.8,10,100,10,0.2,1,0.8,"{'subsample': 0.8, 'scale_pos_weight': 10, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 1, 'colsample_bytree': 0.8}",0.7699270864297041,0.7676110197106539,0.7598762440741496,0.7658047834048358,0.004297419784661004,30
